year;month;day;hour;minute;Par1;Par2;Par3;Par4;Rnet1;Rnet2;Rnet3;Rnet4;Rnet5
5;12;2;23;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;0;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;0;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;1;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;1;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;2;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;2;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;3;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;3;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;4;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;4;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;5;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;5;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;6;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;6;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;7;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;7;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;8;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;8;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;9;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;9;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;10;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;10;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;11;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;11;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;3;12;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
